date,DOW30,FTSE100,NASDAQ,SP500,SSE,VIX
4/1/21,30223.89063,6571.899902,12698.4502,3700.649902,3502.958008,26.96999931
5/1/21,30391.59961,6612.299805,12818.95996,3726.860107,3528.677002,25.34000015
6/1/21,30829.40039,6841.899902,12740.79004,3748.139893,3550.876953,25.06999969
7/1/21,31041.13086,6857,13067.48047,3803.790039,3576.205078,22.37000084
8/1/21,31097.9707,6873.299805,13201.98047,3824.679932,3570.110107,21.55999947
11/1/21,31008.68945,6798.5,13036.42969,3799.610107,3531.498047,24.07999992
12/1/21,31068.68945,6754.100098,13072.42969,3801.189941,3608.340088,23.32999992
13/1/21,31060.4707,6745.5,13128.9502,3809.840088,3598.6521,22.20999908
14/1/21,30991.51953,6802,13112.63965,3795.540039,3565.905029,23.25
15/1/21,30814.25977,6735.700195,12998.5,3768.25,3566.37793,24.34000015
18/1/21,,6720.700195,,,3596.219971,
19/1/21,30930.51953,6713,13197.17969,3798.909912,3566.379883,23.23999977
20/1/21,31188.38086,6740.399902,13457.25,3851.850098,3583.092041,21.57999992
21/1/21,31176.00977,6715.399902,13530.91016,3853.070068,3621.263916,21.31999969
22/1/21,30996.98047,6695.100098,13543.05957,3841.469971,3606.75,21.90999985
25/1/21,30960,6638.899902,13635.99023,3855.360107,3624.238037,23.19000053
26/1/21,30937.03906,6654,13626.05957,3849.620117,3569.428955,23.02000046
27/1/21,30303.16992,6567.399902,13270.59961,3750.77002,3573.340088,37.20999908
28/1/21,30603.35938,6526.200195,13337.16016,3787.379883,3505.176025,30.20999908
29/1/21,29982.61914,6407.5,13070.69043,3714.23999,3483.069092,33.09000015
1/2/21,30211.91016,6466.399902,13403.38965,3773.860107,3505.283936,30.23999977
2/2/21,30687.48047,6516.700195,13612.78027,3826.310059,3533.685059,25.55999947
3/2/21,30723.59961,6507.799805,13610.54004,3830.169922,3517.308105,22.90999985
4/2/21,31055.85938,6503.700195,13777.74023,3871.73999,3501.858887,21.77000046
5/2/21,31148.24023,6489.299805,13856.2998,3886.830078,3496.330078,20.87000084
8/2/21,31385.75977,6523.5,13987.63965,3915.590088,3532.447021,21.23999977
9/2/21,31375.83008,6531.600098,14007.7002,3911.22998,3603.489014,21.62999916
10/2/21,31437.80078,6524.399902,13972.53027,3909.879883,3655.087891,21.98999977
11/2/21,31430.69922,6528.700195,14025.76953,3916.379883,,21.25
12/2/21,31458.40039,6589.799805,14095.46973,3934.830078,,19.96999931
15/2/21,,6756.100098,,,,
16/2/21,31522.75,6748.899902,14047.5,3932.590088,,21.45999908
17/2/21,31613.01953,6710.899902,13965.49023,3931.330078,,21.5
18/2/21,31493.33984,6617.200195,13865.36035,3913.969971,3675.356934,22.48999977
19/2/21,31494.32031,6624,13874.45996,3906.709961,3696.167969,22.04999924
22/2/21,31521.68945,6612.200195,13533.0498,3876.5,3642.439941,23.45000076
23/2/21,31537.34961,6625.899902,13465.2002,3881.370117,3636.360107,23.11000061
24/2/21,31961.85938,6659,13597.96973,3925.429932,3564.080078,21.34000015
25/2/21,31402.00977,6652,13119.42969,3829.340088,3585.050049,28.88999939
26/2/21,30932.36914,6483.399902,13192.34961,3811.149902,3509.080078,27.95000076
1/3/21,31535.50977,6588.5,13588.83008,3901.820068,3551.399902,23.35000038
2/3/21,31391.51953,6613.799805,13358.79004,3870.290039,3508.591064,24.10000038
3/3/21,31270.08984,6675.5,12997.75,3819.719971,3576.899902,26.67000008
4/3/21,30924.14063,6650.899902,12723.46973,3768.469971,3503.48999,28.56999969
5/3/21,31496.30078,6630.5,12920.15039,3841.939941,3501.987061,24.65999985
8/3/21,31802.43945,6719.100098,12609.16016,3821.350098,3421.409912,25.46999931
9/3/21,31832.74023,6730.299805,13073.82031,3875.439941,3359.290039,24.03000069
10/3/21,32297.01953,6725.600098,13068.83008,3898.810059,3357.73999,22.55999947
11/3/21,32485.58984,6737,13398.66992,3939.340088,3436.830078,21.90999985
12/3/21,32778.64063,6761.5,13319.86035,3943.340088,3453.080078,20.69000053
15/3/21,32953.46094,6749.700195,13459.70996,3968.939941,3419.949951,20.03000069
16/3/21,32825.94922,6803.600098,13471.57031,3962.709961,3446.73291,19.79000092
17/3/21,33015.37109,6762.700195,13525.2002,3974.120117,3445.551025,19.22999954
18/3/21,32862.30078,6779.700195,13116.16992,3915.459961,3463.068115,21.57999992
19/3/21,32627.9707,6708.700195,13215.24023,3913.100098,3404.659912,20.95000076
22/3/21,32731.19922,6726.100098,13377.54004,3940.590088,3443.439941,18.87999916
23/3/21,32423.15039,6699.200195,13227.7002,3910.52002,3411.51001,20.29999924
24/3/21,32420.06055,6712.899902,12961.88965,3889.139893,3367.060059,21.20000076
25/3/21,32619.48047,6674.799805,12977.67969,3909.52002,3363.590088,19.80999947
26/3/21,33072.87891,6740.600098,13138.73047,3974.540039,3418.326904,18.86000061
29/3/21,33171.37109,6736.200195,13059.65039,3971.090088,3435.300049,20.73999977
30/3/21,33066.96094,6772.100098,13045.38965,3958.550049,3456.679932,19.61000061
31/3/21,32981.55078,6713.600098,13246.87012,3972.889893,3441.909912,19.39999962
1/4/21,33153.21094,6737.299805,13480.11035,4019.870117,3466.330078,17.32999992
2/4/21,,,,,3484.39209,
5/4/21,33527.19141,,13705.58984,4077.909912,,17.90999985
6/4/21,33430.23828,6823.600098,13698.37988,4073.939941,3482.969971,18.12000084
7/4/21,33446.26172,6885.299805,13688.83984,4079.949951,3479.629883,17.15999985
8/4/21,33503.57031,6942.200195,13829.30957,4097.169922,3482.550049,16.95000076
9/4/21,33800.60156,6915.799805,13900.19043,4128.799805,3450.679932,16.69000053
12/4/21,33745.39844,6889.100098,13850,4127.990234,3412.949951,16.90999985
13/4/21,33677.26953,6890.5,13996.09961,4141.589844,3396.469971,16.64999962
14/4/21,33730.89063,6939.600098,13857.83984,4124.660156,3416.719971,16.98999977
15/4/21,34035.98828,6983.5,14038.75977,4170.419922,3398.98999,16.56999969
16/4/21,34200.67188,7019.5,14052.33984,4185.470215,3426.620117,16.25
19/4/21,34077.62891,7000.100098,13914.76953,4163.259766,3477.550049,17.29000092
20/4/21,33821.30078,6859.899902,13786.26953,4134.939941,3472.939941,18.68000031
21/4/21,34137.30859,6895.299805,13950.21973,4173.419922,3472.929932,17.5
22/4/21,33815.89844,6938.200195,13818.41016,4134.97998,3465.110107,18.70999908
23/4/21,34043.48828,6938.600098,14016.80957,4180.169922,3474.169922,17.32999992
26/4/21,33981.57031,6963.100098,14138.78027,4187.620117,3441.169922,17.63999939
27/4/21,33984.92969,6945,14090.21973,4186.720215,3442.610107,17.55999947
28/4/21,33820.37891,6963.700195,14051.03027,4183.180176,3457.070068,17.28000069
29/4/21,34060.35938,6961.5,14082.5498,4211.470215,3474.899902,17.61000061
30/4/21,33874.85156,6969.799805,13962.67969,4181.169922,3446.860107,18.61000061
3/5/21,34113.23047,,13895.12012,4192.660156,,18.30999947
4/5/21,34133.03125,6923.200195,13633.5,4164.660156,,19.47999954
5/5/21,34230.33984,7039.299805,13582.41992,4167.589844,,19.14999962
6/5/21,34548.53125,7076.200195,13632.83984,4201.620117,3441.280029,18.38999939
