date,DOW30,FTSE100,NASDAQ,SP500,SSE,VIX
5/1/21,0.00553355,0.006128552,0.009445368,0.007057631,0.007315257,-0.062340931
6/1/21,0.014302551,0.034133935,-0.006116661,0.005693603,0.006271588,-0.010712281
7/1/21,0.006844334,0.002204572,0.025318076,0.01473826,0.007107602,-0.113951087
8/1/21,0.001829439,0.002374284,0.010240117,0.005476837,-0.001705766,-0.036881092
9/1/21,0,0,0,0,0,0
10/1/21,0,0,0,0,0,0
11/1/21,-0.002875096,-0.010942312,-0.012619132,-0.006576328,-0.010874281,0.110541896
12/1/21,0.001933072,-0.006552257,0.002757686,0.000415702,0.0215257,-0.031641535
13/1/21,-0.00026457,-0.001274126,0.004314322,0.002273056,-0.002688499,-0.049197486
14/1/21,-0.002222369,0.008341071,-0.001243107,-0.003760513,-0.009141472,0.045762535
15/1/21,-0.005736041,-0.009794918,-0.008742658,-0.007216001,0.000132608,0.045815962
16/1/21,0,0,0,0,0,0
17/1/21,0,0,0,0,0,0
18/1/21,0,-0.002229423,0,0,0.00833279,0
19/1/21,0.003765821,-0.0011464,0.015169181,0.008103458,-0.008332243,-0.046246172
20/1/21,0.008302234,0.004073311,0.019514848,0.013839417,0.004675083,-0.074107966
21/1/21,-0.000396736,-0.003715874,0.005458715,0.000316673,0.010596987,-0.012121371
22/1/21,-0.005759086,-0.003027452,0.000897498,-0.003015153,-0.004016023,0.027297562
23/1/21,0,0,0,0,0,0
24/1/21,0,0,0,0,0,0
25/1/21,-0.001193747,-0.008429658,0.006838431,0.003609318,0.00483698,0.056778028
26/1/21,-0.000741907,0.002271905,-0.000728534,-0.001489943,-0.015238443,-0.007357751
27/1/21,-0.020701816,-0.013100176,-0.026433071,-0.026013315,0.001095131,0.480214095
28/1/21,0.009857462,-0.006293127,0.005003103,0.009713299,-0.019260017,-0.208404553
29/1/21,-0.020491935,-0.018355695,-0.020181784,-0.019500378,-0.006326912,0.091058161
30/1/21,0,0,0,0,0,0
31/1/21,0,0,0,0,0,0
1/2/21,0.007618371,0.009150345,0.025135282,0.0159243,0.006357698,-0.090065583
2/2/21,0.015618546,0.007748618,0.015501444,0.013802529,0.008069726,-0.168136935
3/2/21,0.001176307,-0.001366715,-0.000164582,0.001008261,-0.004645298,-0.109455119
4/2/21,0.010756422,-0.000630152,0.012209768,0.010794848,-0.004402016,-0.051040594
5/2/21,0.002970252,-0.002216639,0.005685725,0.00388992,-0.001580069,-0.042220135
6/2/21,0,0,0,0,0,0
7/2/21,0,0,0,0,0,0
8/2/21,0.007596529,0.005256405,0.009434069,0.007372107,0.010276969,0.017573424
9/2/21,-0.000316426,0.001240909,0.001433135,-0.001114145,0.019911709,0.018195016
10/2/21,0.001973162,-0.001102971,-0.002513914,-0.000345245,0.014217593,0.016506593
11/2/21,-0.000225918,0.000658892,0.00380304,0.001661075,0,-0.034230899
12/2/21,0.000880953,0.009315097,0.004957131,0.004699971,0,-0.062125782
13/2/21,0,0,0,0,0,0
14/2/21,0,0,0,0,0,0
15/2/21,0,0.024922846,0,0,0,0
16/2/21,0.002043457,-0.001066301,-0.003409006,-0.000569435,0,0.071959581
17/2/21,0.002859539,-0.005646459,-0.005855141,-0.000320453,0,0.001862241
18/2/21,-0.003792956,-0.014060706,-0.007195635,-0.004425614,0.005530113,0.045017821
19/2/21,3.11E-05,0.001027068,0.000656068,-0.001856619,0.005646346,-0.019758189
