model,h,rmse,r2
HAR-RV,1,0.8358913474222192,0.1282003258666018
HAR-RV,3,0.8098088541625468,0.1919188321343137
HAR-RV,5,0.8387190727335962,0.1404683079945621
HAR-RV,7,0.8500432504389854,0.1105319727321673
HAR-RV-J,1,0.8137602378543656,0.17375285136644147
HAR-RV-J,3,0.807525912392043,0.19646855245566075
HAR-RV-J,5,0.8366905885374188,0.1446209213847489
HAR-RV-J,7,0.8496538386802073,0.11134673120802385
HAR-RV-J-H,1,0.8004067313593509,0.2006471870309946
HAR-RV-J-H,3,0.8046915424494394,0.2020993523864193
HAR-RV-J-H,5,0.827529647752465,0.16324950049846754
HAR-RV-J-H,7,0.85557280587402,0.09892230509112265
