,mean_abs_coef
log_RV,0.5930531484646271
DLOG_EST_TX_VOL_USD,0.21685502264485124
DLOG_UNIQUE_ADDR,0.1423247573256005
DLOG_FEES_USD_PER_TX,0.08106455086253762
VIX,0.07386788264622696
YC_SLOPE_10Y_2Y,0.05643694176930929
BB_WIDTH,0.054757716457978514
ATR14,0.04564162496929218
DLOG_FEES_USD,0.045328961243105474
DLOG_TX_COUNT,0.03621828049992669
TLT,0.03089437100937423
FTSE100,0.030607413523788974
RSI14,0.028122207043320316
D_DGS2,0.027772056627948627
EEM,0.01964170414556829
IEF,0.017495224813002905
OBV,0.01660340151068025
GOLD,0.015585136696061345
D_HY_OAS,0.014989660004981064
SSE,0.012433554533149599
MOM10,0.01231968326485792
DXY,0.011473184555775678
DLOG_AVG_BLOCK_SIZE,0.01131249238343144
D_EFFR,0.00774130122682346
LOG_HASH_RATE,0.007521507588517886
DLOG_DIFFICULTY,0.007307440642331149
OIL,0.005827799446048422
HYG,0.005360477539898062
DLOG_MINERS_REV_USD,0.004717235044147173
SILVER,0.004485048654806471
DLOG_MED_CONFIRM_TIME,0.003548888884016303
DLOG_HASH_RATE,0.002896366467422583
STOCH_K,0.0014046917962621005
ROC10,0.00135884036537941
NASDAQ,0.001354726823207568
LOG_DIFFICULTY,0.0013369103486082492
DLOG_AVG_TX_VALUE_USD,0.00033945775356049134
EMA30,0.00032379444363797425
EMA10,1.626734280812359e-05
EMA200,0.0
D_DGS10,0.0
LQD,0.0
SP500,0.0
DOW30,0.0
