h,Group,Feature_Lag,Times_Selected,Frequency
1,Asset,D_DGS2_lag3,544,100.0
1,Asset,TLT,544,100.0
1,Blockchain,DLOG_EST_TX_VOL_USD_lag1,544,100.0
1,Blockchain,DLOG_EST_TX_VOL_USD_lag2,544,100.0
1,Blockchain,DLOG_FEES_USD_PER_TX,544,100.0
1,Blockchain,DLOG_FEES_USD_PER_TX_lag3,544,100.0
1,Blockchain,DLOG_FEES_USD_lag1,544,100.0
1,Blockchain,DLOG_FEES_USD_lag2,544,100.0
1,Blockchain,DLOG_TX_COUNT_lag1,544,100.0
1,Blockchain,DLOG_UNIQUE_ADDR,544,100.0
1,Blockchain,DLOG_UNIQUE_ADDR_lag2,544,100.0
1,Blockchain,DLOG_UNIQUE_ADDR_lag3,544,100.0
1,Macro,FTSE100_lag1,544,100.0
1,Macro,VIX_lag3,544,100.0
1,Technical,ATR14_lag1,544,100.0
1,Technical,BB_WIDTH_lag2,544,100.0
1,Technical,RSI14_lag2,544,100.0
1,Technical,log_RV,544,100.0
1,Technical,log_RV_lag1,544,100.0
1,Technical,log_RV_lag3,544,100.0
1,Macro,VIX_lag1,523,96.13970588235294
1,Asset,GOLD_lag1,516,94.85294117647058
1,Asset,D_EFFR_lag3,483,88.78676470588235
1,Macro,SSE_lag1,483,88.78676470588235
1,Technical,log_RV_lag2,455,83.63970588235294
1,Asset,TLT_lag2,432,79.41176470588235
1,Blockchain,DLOG_UNIQUE_ADDR_lag1,432,79.41176470588235
1,Blockchain,DLOG_FEES_USD_PER_TX_lag2,425,78.125
1,Asset,EEM_lag2,399,73.34558823529412
1,Technical,MOM10,383,70.40441176470588
1,Blockchain,DLOG_DIFFICULTY_lag2,369,67.83088235294117
1,Technical,BB_WIDTH_lag3,369,67.83088235294117
1,Asset,D_HY_OAS_lag2,357,65.625
1,Asset,YC_SLOPE_10Y_2Y,357,65.625
1,Blockchain,DLOG_AVG_BLOCK_SIZE_lag1,357,65.625
1,Asset,IEF_lag1,343,63.05147058823529
1,Technical,BB_WIDTH_lag1,329,60.47794117647059
1,Technical,RSI14_lag1,322,59.19117647058824
1,Blockchain,DLOG_TX_COUNT_lag3,308,56.61764705882353
1,Technical,OBV,308,56.61764705882353
1,Asset,EEM,292,53.67647058823529
1,Technical,BB_WIDTH,285,52.38970588235294
1,Asset,IEF_lag2,280,51.470588235294116
1,Blockchain,DLOG_MINERS_REV_USD_lag3,280,51.470588235294116
1,Macro,OIL_lag3,273,50.18382352941176
1,Macro,FTSE100_lag2,271,49.81617647058824
1,Macro,DXY_lag2,266,48.89705882352941
1,Blockchain,DLOG_HASH_RATE_lag1,259,47.61029411764706
1,Blockchain,DLOG_AVG_BLOCK_SIZE_lag3,250,45.955882352941174
1,Asset,HYG_lag2,238,43.75
1,Asset,SILVER,222,40.80882352941176
1,Blockchain,DLOG_DIFFICULTY_lag3,215,39.52205882352941
1,Blockchain,DLOG_TX_COUNT,210,38.60294117647059
1,Asset,D_DGS2_lag1,194,35.661764705882355
1,Blockchain,DLOG_DIFFICULTY,182,33.455882352941174
1,Blockchain,LOG_HASH_RATE_lag3,182,33.455882352941174
1,Asset,YC_SLOPE_10Y_2Y_lag1,175,32.169117647058826
1,Asset,D_EFFR,173,31.801470588235293
1,Blockchain,DLOG_MED_CONFIRM_TIME_lag1,173,31.801470588235293
1,Blockchain,DLOG_MED_CONFIRM_TIME_lag2,173,31.801470588235293
1,Asset,GOLD_lag2,161,29.59558823529412
1,Technical,STOCH_K_lag1,161,29.59558823529412
1,Technical,RSI14_lag3,159,29.22794117647059
1,Macro,FTSE100,133,24.448529411764707
1,Macro,NASDAQ_lag2,126,23.161764705882355
1,Asset,SILVER_lag1,119,21.875
1,Asset,EEM_lag1,110,20.22058823529412
1,Blockchain,DLOG_MINERS_REV_USD_lag2,105,19.301470588235293
1,Technical,ATR14_lag3,105,19.301470588235293
1,Blockchain,DLOG_AVG_BLOCK_SIZE,103,18.933823529411764
1,Technical,OBV_lag3,103,18.933823529411764
1,Blockchain,LOG_DIFFICULTY,98,18.014705882352942
1,Technical,ATR14,98,18.014705882352942
1,Asset,D_EFFR_lag2,96,17.647058823529413
1,Blockchain,DLOG_AVG_TX_VALUE_USD,91,16.727941176470587
1,Technical,ATR14_lag2,91,16.727941176470587
1,Technical,RSI14,91,16.727941176470587
1,Blockchain,DLOG_MINERS_REV_USD_lag1,82,15.073529411764705
1,Asset,D_EFFR_lag1,77,14.154411764705882
1,Technical,MOM10_lag3,77,14.154411764705882
1,Technical,ROC10_lag3,75,13.786764705882353
1,Asset,HYG,63,11.580882352941178
1,Asset,YC_SLOPE_10Y_2Y_lag3,63,11.580882352941178
1,Macro,NASDAQ,63,11.580882352941178
1,Technical,ROC10,54,9.926470588235293
1,Blockchain,DLOG_MED_CONFIRM_TIME_lag3,42,7.720588235294118
1,Macro,NASDAQ_lag3,42,7.720588235294118
1,Technical,STOCH_K_lag2,42,7.720588235294118
1,Technical,EMA30,40,7.352941176470589
1,Macro,OIL_lag1,35,6.4338235294117645
1,Blockchain,DLOG_DIFFICULTY_lag1,28,5.147058823529411
1,Macro,DXY_lag1,28,5.147058823529411
1,Asset,GOLD,21,3.860294117647059
1,Asset,YC_SLOPE_10Y_2Y_lag2,21,3.860294117647059
1,Blockchain,DLOG_AVG_BLOCK_SIZE_lag2,21,3.860294117647059
1,Technical,MOM10_lag2,21,3.860294117647059
1,Asset,EEM_lag3,14,2.5735294117647056
1,Asset,HYG_lag1,14,2.5735294117647056
1,Macro,SSE_lag3,14,2.5735294117647056
1,Technical,EMA10,12,2.2058823529411766
1,Asset,GOLD_lag3,7,1.2867647058823528
1,Macro,FTSE100_lag3,7,1.2867647058823528
1,Technical,MOM10_lag1,7,1.2867647058823528
3,Blockchain,DLOG_EST_TX_VOL_USD,544,100.0
3,Blockchain,DLOG_EST_TX_VOL_USD_lag3,544,100.0
3,Blockchain,DLOG_FEES_USD_lag3,544,100.0
3,Blockchain,DLOG_UNIQUE_ADDR,544,100.0
3,Blockchain,DLOG_UNIQUE_ADDR_lag3,544,100.0
3,Technical,log_RV,544,100.0
3,Technical,log_RV_lag2,544,100.0
3,Technical,log_RV_lag3,544,100.0
3,Asset,TLT_lag2,511,93.93382352941177
3,Asset,EEM_lag3,460,84.55882352941177
3,Asset,D_EFFR,455,83.63970588235294
3,Technical,BB_WIDTH_lag3,453,83.27205882352942
3,Macro,FTSE100_lag3,439,80.69852941176471
3,Macro,VIX_lag3,425,78.125
3,Blockchain,DLOG_FEES_USD_lag1,418,76.83823529411765
3,Technical,ATR14_lag3,411,75.55147058823529
3,Blockchain,DLOG_EST_TX_VOL_USD_lag2,376,69.11764705882352
3,Asset,YC_SLOPE_10Y_2Y_lag2,364,66.91176470588235
3,Asset,D_EFFR_lag1,315,57.904411764705884
3,Technical,OBV_lag3,292,53.67647058823529
3,Technical,BB_WIDTH_lag2,236,43.38235294117647
3,Technical,BB_WIDTH_lag1,229,42.095588235294116
3,Asset,YC_SLOPE_10Y_2Y_lag3,203,37.31617647058824
3,Technical,ATR14_lag2,180,33.088235294117645
3,Asset,D_HY_OAS,154,28.308823529411764
3,Technical,ATR14,133,24.448529411764707
3,Blockchain,DLOG_TX_COUNT_lag2,112,20.588235294117645
3,Technical,OBV_lag1,112,20.588235294117645
3,Blockchain,DLOG_FEES_USD_PER_TX_lag1,105,19.301470588235293
3,Technical,OBV_lag2,84,15.441176470588236
3,Technical,ATR14_lag1,63,11.580882352941178
3,Asset,D_HY_OAS_lag3,47,8.63970588235294
3,Asset,YC_SLOPE_10Y_2Y,42,7.720588235294118
3,Asset,D_HY_OAS_lag1,35,6.4338235294117645
3,Macro,FTSE100_lag2,35,6.4338235294117645
3,Blockchain,LOG_DIFFICULTY_lag1,28,5.147058823529411
3,Technical,OBV,21,3.860294117647059
3,Macro,DOW30,14,2.5735294117647056
3,Macro,NASDAQ,7,1.2867647058823528
3,Technical,BB_WIDTH,7,1.2867647058823528
3,Technical,RSI14_lag2,7,1.2867647058823528
3,Blockchain,DLOG_MINERS_REV_USD_lag1,5,0.9191176470588236
5,Technical,log_RV_lag1,544,100.0
5,Technical,log_RV_lag2,504,92.64705882352942
5,Asset,YC_SLOPE_10Y_2Y,329,60.47794117647059
5,Asset,YC_SLOPE_10Y_2Y_lag1,140,25.735294117647058
7,Blockchain,DLOG_EST_TX_VOL_USD_lag3,544,100.0
7,Blockchain,DLOG_FEES_USD_lag1,544,100.0
7,Technical,log_RV_lag3,544,100.0
7,Blockchain,DLOG_UNIQUE_ADDR_lag1,523,96.13970588235294
7,Blockchain,DLOG_EST_TX_VOL_USD,516,94.85294117647058
7,Blockchain,DLOG_UNIQUE_ADDR,509,93.56617647058823
7,Asset,D_EFFR_lag3,497,91.36029411764706
7,Macro,DXY_lag3,497,91.36029411764706
7,Blockchain,DLOG_MED_CONFIRM_TIME_lag1,469,86.21323529411765
7,Blockchain,DLOG_MED_CONFIRM_TIME,462,84.92647058823529
7,Blockchain,DLOG_AVG_BLOCK_SIZE,399,73.34558823529412
7,Asset,YC_SLOPE_10Y_2Y,385,70.77205882352942
7,Macro,DOW30_lag1,378,69.48529411764706
7,Asset,D_EFFR_lag1,371,68.19852941176471
7,Blockchain,DLOG_HASH_RATE_lag2,371,68.19852941176471
7,Technical,OBV,350,64.33823529411765
7,Macro,SSE_lag3,287,52.75735294117647
7,Macro,DXY_lag1,285,52.38970588235294
7,Blockchain,DLOG_EST_TX_VOL_USD_lag1,280,51.470588235294116
7,Blockchain,DLOG_HASH_RATE_lag1,264,48.529411764705884
7,Asset,HYG_lag3,196,36.029411764705884
7,Macro,NASDAQ_lag1,159,29.22794117647059
7,Technical,RSI14,147,27.02205882352941
7,Asset,D_DGS10_lag3,133,24.448529411764707
7,Macro,DXY_lag2,119,21.875
7,Technical,OBV_lag3,119,21.875
7,Technical,EMA10_lag3,105,19.301470588235293
7,Asset,EEM,98,18.014705882352942
7,Technical,EMA30_lag3,91,16.727941176470587
7,Blockchain,DLOG_UNIQUE_ADDR_lag3,68,12.5
7,Blockchain,LOG_HASH_RATE_lag3,63,11.580882352941178
7,Asset,D_HY_OAS_lag3,56,10.294117647058822
7,Blockchain,LOG_DIFFICULTY_lag3,56,10.294117647058822
7,Macro,SSE_lag2,56,10.294117647058822
7,Macro,FTSE100_lag2,42,7.720588235294118
7,Blockchain,DLOG_AVG_BLOCK_SIZE_lag1,35,6.4338235294117645
7,Macro,SSE,35,6.4338235294117645
7,Blockchain,DLOG_MED_CONFIRM_TIME_lag2,26,4.779411764705882
7,Technical,STOCH_K_lag2,26,4.779411764705882
7,Asset,HYG_lag2,21,3.860294117647059
7,Blockchain,DLOG_EST_TX_VOL_USD_lag2,21,3.860294117647059
7,Macro,SSE_lag1,21,3.860294117647059
7,Asset,EEM_lag2,19,3.4926470588235294
7,Asset,D_DGS2_lag1,7,1.2867647058823528
