,mean_abs_shap
log_RV,0.4346948223791654
ATR14,0.08322352544520285
BB_WIDTH,0.040982713320892705
YC_SLOPE_10Y_2Y,0.03180574367051886
FTSE100,0.030422875219365056
SILVER,0.028832794204134215
VIX,0.027924883949041066
LOG_DIFFICULTY,0.02532668653874175
GOLD,0.021629375813235468
TLT,0.02006218658825381
DXY,0.019995254469518834
LQD,0.019331763797230762
LOG_HASH_RATE,0.01910788355227558
D_HY_OAS,0.01905443888175501
IEF,0.018978296421832363
OIL,0.01800161296603131
SSE,0.017576330526021144
DLOG_AVG_TX_VALUE_USD,0.017223732200297673
EEM,0.016127208272273753
OBV,0.015418211674935864
SP500,0.014642191316551334
NASDAQ,0.014374942878003304
RSI14,0.014135823241627413
HYG,0.013752197354828128
DOW30,0.013462706385905143
STOCH_K,0.012811178544269037
DLOG_UNIQUE_ADDR,0.011663721015474283
DLOG_EST_TX_VOL_USD,0.011531554975284266
D_DGS2,0.011089580322496458
MOM10,0.010959999441954856
ROC10,0.010381740467439005
D_DGS10,0.008799949094730513
DLOG_AVG_BLOCK_SIZE,0.007565079531898371
DLOG_FEES_USD,0.0064212203927573675
DLOG_FEES_USD_PER_TX,0.006092002579837955
DLOG_HASH_RATE,0.005387975888002533
DLOG_TX_COUNT,0.005019247053568114
EMA200,0.00443047652608324
EMA30,0.003816459099699654
DLOG_MED_CONFIRM_TIME,0.0036263752909987046
EMA10,0.0034185982312294394
DLOG_MINERS_REV_USD,0.0032150912492772132
DLOG_DIFFICULTY,0.0014967676911093592
D_EFFR,0.00028355197852982303
