,mean_perm_importance
log_RV,0.14738435843369357
DLOG_HASH_RATE,0.027311561660478115
DLOG_MED_CONFIRM_TIME,0.026490756240348298
DLOG_UNIQUE_ADDR,0.02437606052807142
DLOG_AVG_BLOCK_SIZE,0.02360847665614827
SSE,0.02261584170511126
DLOG_EST_TX_VOL_USD,0.02184954636429453
SILVER,0.0218490040602214
D_EFFR,0.021481454480421516
YC_SLOPE_10Y_2Y,0.020573862007277215
DXY,0.0204586567745155
EEM,0.020139577184112627
DLOG_AVG_TX_VALUE_USD,0.01967960758883337
FTSE100,0.019212224790798677
DOW30,0.019045008022706856
TLT,0.018959794332325888
D_DGS2,0.0187738397927251
DLOG_FEES_USD,0.018713420769894996
HYG,0.018620381822113508
GOLD,0.018617455457723347
OIL,0.01821237159306598
DLOG_TX_COUNT,0.01789723428988163
ATR14,0.017883983581987586
DLOG_DIFFICULTY,0.017784535403063517
OBV,0.01765683197895568
DLOG_FEES_USD_PER_TX,0.01757468978689727
RSI14,0.017516025800692094
IEF,0.01727291591290977
D_DGS10,0.017019395236997224
LQD,0.016867532633799726
VIX,0.016758677730693037
DLOG_MINERS_REV_USD,0.016708947647531214
SP500,0.016683421210284655
NASDAQ,0.016638343850575964
STOCH_K,0.016393634639951225
ROC10,0.016207287647522575
D_HY_OAS,0.015981101257744792
MOM10,0.01527441023568739
BB_WIDTH,0.01454011951730006
EMA30,0.014244241185048577
EMA10,0.014236340829012569
EMA200,0.014045775678775118
LOG_DIFFICULTY,0.013790232308541369
LOG_HASH_RATE,0.012829966245792898
