target,feature,importance_mean,importance_std
y_h1,log_RV,0.21894866145192166,0.038626011
y_h1,HYG_lag1,0.015413891781748956,0.003956067
y_h1,DLOG_EST_TX_VOL_USD_lag2,0.015004090285757794,0.00403054
y_h1,DLOG_TX_COUNT_lag2,0.010295811025827472,0.006508057
y_h1,DLOG_FEES_USD_PER_TX_lag1,0.009795331,0.003960358
y_h1,DLOG_MINERS_REV_USD,0.009225111,0.005161999
y_h1,DLOG_FEES_USD_PER_TX_lag3,0.008909671,0.007189312
y_h1,IEF,0.008881116,0.005103406
y_h1,RSI14_lag1,0.008755313,0.003032261
y_h1,TLT_lag3,0.008229734,0.003113977
y_h1,LQD_lag3,0.008163253,0.003620576
y_h1,DLOG_AVG_TX_VALUE_USD_lag2,0.007380713,0.002144881
y_h1,DLOG_UNIQUE_ADDR_lag1,0.006979638,0.007089253
y_h1,DLOG_EST_TX_VOL_USD_lag1,0.006275373,0.002663779
y_h1,DLOG_FEES_USD_lag1,0.00606643,0.002911608
y_h1,VIX,0.00605727,0.001555154
y_h1,DLOG_FEES_USD_PER_TX,0.005835955,0.004364358
y_h1,NASDAQ_lag3,0.005828875,0.002487644
y_h1,DLOG_AVG_TX_VALUE_USD_lag1,0.005751914,0.002398478
y_h1,EEM,0.005708622,0.001932243
y_h1,LQD_lag1,0.005623422,0.002252619
y_h1,SILVER_lag3,0.005461634,0.001891954
y_h1,DLOG_TX_COUNT,0.005333561,0.003445544
y_h1,IEF_lag1,0.004833605,0.007647787
y_h1,DLOG_FEES_USD_lag2,0.004474092,0.003829
y_h1,TLT_lag2,0.004206203,0.003127864
y_h1,MOM10,0.004162384,0.002529372
y_h1,DLOG_UNIQUE_ADDR,0.003926212,0.001317682
y_h1,EMA10_lag1,0.003796756,0.002002655
y_h1,D_DGS10_lag1,0.003791715,0.00224749
y_h1,EMA30_lag1,0.003753208,0.001971964
y_h1,DLOG_TX_COUNT_lag3,0.003555595,0.00424987
y_h1,SSE_lag3,0.003397861,0.002302444
y_h1,EMA200_lag1,0.002547888,0.00140649
y_h1,STOCH_K_lag3,0.00247993,0.002681283
y_h1,SSE_lag2,0.00233733,0.001433678
y_h1,ATR14,0.002265763,0.001793969
y_h1,EEM_lag2,0.002103276,0.002135919
y_h1,MOM10_lag3,0.002037982,0.001645973
y_h1,LOG_HASH_RATE_lag2,0.001975503,0.000826897
y_h1,D_DGS2_lag1,0.001951415,0.001368318
y_h1,SP500_lag1,0.001934078,0.000722712
y_h1,RSI14,0.001865596,0.001042998
y_h1,DLOG_EST_TX_VOL_USD,0.001826074,0.00192477
y_h1,LOG_HASH_RATE_lag3,0.001660893,0.000967304
y_h1,LQD,0.00155364,0.00119055
y_h1,LOG_HASH_RATE_lag1,0.001534931,0.000763788
y_h1,ROC10_lag3,0.001465926,0.000995545
y_h1,DLOG_AVG_BLOCK_SIZE_lag3,0.001404064,0.001654624
y_h1,LOG_HASH_RATE,0.00134589,0.000681413
y_h1,D_DGS2_lag2,0.00128492,0.00093488
y_h1,DLOG_MINERS_REV_USD_lag3,0.00127231,0.001270854
y_h1,IEF_lag3,0.001206173,0.000609517
y_h1,DLOG_UNIQUE_ADDR_lag2,0.001156506,0.004861728
y_h1,DLOG_HASH_RATE_lag1,0.001064005,0.000965676
y_h1,OBV_lag1,0.001021747,0.000600808
y_h1,STOCH_K_lag2,0.001019018,0.00326361
y_h1,DOW30_lag3,0.000970581,0.000480261
y_h1,MOM10_lag2,0.000941841,0.003054847
y_h1,FTSE100_lag1,0.000941226,0.001011234
y_h1,DLOG_HASH_RATE,0.000876116,0.002153848
y_h1,DLOG_DIFFICULTY_lag3,0.00086769,0.000442855
y_h1,ATR14_lag2,0.000862205,0.004841865
y_h1,ATR14_lag3,0.000800406,0.00196093
y_h1,RSI14_lag3,0.000794027,0.006971353
y_h1,HYG_lag2,0.000758106,0.000771464
y_h1,VIX_lag2,0.000661663,0.000505187
y_h1,VIX_lag1,0.000641662,0.00045778
y_h1,FTSE100,0.000625248,0.000524973
y_h1,DLOG_AVG_TX_VALUE_USD,0.000604788,0.001083988
y_h1,DOW30_lag2,0.00060424,0.001315891
y_h1,SILVER,0.000578853,0.002690268
y_h1,OBV,0.000554436,0.000295711
y_h1,SP500_lag2,0.000547533,0.001601525
