,mean_perm_importance
log_RV,0.06351030711493136
ATR14,0.031503497282286776
DLOG_EST_TX_VOL_USD,0.029225620587713205
DLOG_UNIQUE_ADDR,0.026516922136257504
DLOG_AVG_TX_VALUE_USD,0.024736953308911062
YC_SLOPE_10Y_2Y,0.022989923025518968
BB_WIDTH,0.02141072679034027
D_HY_OAS,0.01810771982864633
VIX,0.0180731313963662
D_EFFR,0.018027117041670607
DLOG_TX_COUNT,0.017730465432519143
DLOG_FEES_USD,0.01724722545648624
EEM,0.01698471927307027
NASDAQ,0.01692344778651896
DLOG_HASH_RATE,0.016686663081347995
DLOG_AVG_BLOCK_SIZE,0.016587663423301886
SSE,0.016518724676434907
DXY,0.016362589589693364
FTSE100,0.01635629455883873
RSI14,0.016244551491874096
DLOG_DIFFICULTY,0.016052967178938844
GOLD,0.01604528255140605
D_DGS2,0.015939920178584234
OBV,0.015932441431774257
DOW30,0.01590900822898855
SP500,0.01582156367309875
DLOG_MED_CONFIRM_TIME,0.015807614311567433
TLT,0.015806481972510285
LOG_DIFFICULTY,0.01576319150179104
D_DGS10,0.01573382009365371
LQD,0.015717029010720772
HYG,0.015676484182001973
DLOG_MINERS_REV_USD,0.01550258541896062
DLOG_FEES_USD_PER_TX,0.015201316754012732
IEF,0.014767899778945553
SILVER,0.014467901230041385
STOCH_K,0.014190132470536661
OIL,0.014127168890765885
LOG_HASH_RATE,0.014052151250315274
MOM10,0.013882091085050244
EMA10,0.013644947477447876
EMA200,0.01364118807771748
EMA30,0.013640544256471996
ROC10,0.01353287887789671
