,mean_abs_shap
log_RV,0.232792
ATR14,0.18523872
YC_SLOPE_10Y_2Y,0.063666455
NASDAQ,0.058225766
LOG_DIFFICULTY,0.054485723
FTSE100,0.051539645
BB_WIDTH,0.040539112
OBV,0.040411185
LQD,0.040124096
D_HY_OAS,0.03826653
DXY,0.037577435
SSE,0.035152614
EEM,0.035043586
SILVER,0.03426975
VIX,0.033502392
DOW30,0.031478006
GOLD,0.03029579
LOG_HASH_RATE,0.029211067
IEF,0.027843121
TLT,0.026707612
SP500,0.026110388
DLOG_AVG_TX_VALUE_USD,0.022756465
DLOG_EST_TX_VOL_USD,0.022568656
OIL,0.022172358
HYG,0.020448681
EMA10,0.01804103
EMA200,0.015744032
EMA30,0.015291077
D_DGS10,0.014120158
DLOG_UNIQUE_ADDR,0.011464234
RSI14,0.010037379
D_DGS2,0.0097830985
DLOG_FEES_USD,0.00949523
DLOG_AVG_BLOCK_SIZE,0.0076875715
ROC10,0.0076090046
STOCH_K,0.0065608276
DLOG_MINERS_REV_USD,0.0060523455
DLOG_FEES_USD_PER_TX,0.0058263517
DLOG_HASH_RATE,0.0053247474
MOM10,0.004825934
DLOG_TX_COUNT,0.0030444707
DLOG_MED_CONFIRM_TIME,0.0025309797
DLOG_DIFFICULTY,0.000921457
D_EFFR,0.0007161668
