date,actual_y_h5,lasso_bic_y_h5,lasso_bic_var_count_y_h5,lasso_aic_y_h5,lasso_aic_var_count_y_h5,lasso_cv_y_h5,lasso_cv_var_count_y_h5,lasso_val_y_h5,lasso_val_var_count_y_h5,ridge_cv_y_h5,ridge_val_y_h5
2024-06-29,-6.7568326341271066,-7.787106390699424,6,-7.9073233521398825,27,-7.9050026933277735,26,-7.737370107874929,5,-7.985773713048951,-7.785975920093103
2024-06-30,-6.028709939198225,-7.868250186789421,5,-7.871138192917782,28,-7.872190185802786,27,-7.825173912170203,4,-7.935571382852049,-7.8190145540555145
2024-07-01,-7.82183717488344,-8.154450305692004,6,-8.205913959248097,28,-8.2061258636035,27,-8.104431055964485,3,-7.879539626633552,-7.7710059347410025
2024-07-02,-7.599232953126869,-7.795041985540548,5,-7.830916345926919,30,-7.8321113327141685,29,-7.755589294765606,4,-7.7475627052843326,-7.734646566850245
2024-07-03,-6.201600022028114,-7.804862478515886,5,-7.752229476650536,30,-7.7541761184284805,29,-7.771572310262347,4,-7.7200394012081945,-7.671234625011178
2024-07-04,-7.13201098663784,-7.836305541028578,5,-7.904780816782752,29,-7.904392162468504,28,-7.814021305532862,3,-7.718937305955568,-7.671061653382993
2024-07-05,-7.364155934126495,-7.462302573378637,5,-7.485445130904374,29,-7.485593466622599,28,-7.4665979579629775,3,-7.765962026531443,-7.616010465125791
2024-07-06,-6.970855511693713,-7.114255268757397,5,-7.171663758074646,28,-7.169577657693493,28,-7.115540943017938,3,-7.281650784164658,-7.387368695811055
2024-07-07,-7.461112349654011,-7.070996812256499,4,-7.013289009061433,30,-7.015059902971756,29,-7.071026034721764,3,-7.181303572122591,-7.331607647107045
2024-07-08,-8.001579020126183,-7.6350021197438105,5,-7.619751438273463,31,-7.620285939042994,28,-7.626614002882508,3,-7.405769819600013,-7.335600069012618
2024-07-09,-7.503141944073601,-7.404688321507593,5,-7.421300170929865,32,-7.420007975312543,29,-7.4023345325239855,3,-7.38117708544941,-7.452180750725751
2024-07-10,-7.10151927124952,-7.055895861887014,6,-7.0764316927396775,32,-7.0772472024102315,29,-7.061785094269778,3,-7.387011607508323,-7.477444647160082
2024-07-11,-6.875117452289596,-7.386021566289745,6,-7.499962458315344,32,-7.500221086360818,29,-7.380173900681033,3,-7.497743439646778,-7.514396776749623
2024-07-12,-7.273310670983561,-7.426981059699221,4,-7.468723043478428,31,-7.4698044821892395,29,-7.4172265047925325,3,-7.3813640776905,-7.512060824899928
2024-07-13,-7.590004120123674,-7.345337846224797,4,-7.486349626511913,32,-7.4835235789632755,29,-7.333144234487495,3,-7.643538644154488,-7.620365265853117
2024-07-14,-7.361953880672214,-7.560894643227063,4,-7.641619404636495,30,-7.6398993570844596,29,-7.540860686420103,3,-7.685178451734535,-7.579063859219731
2024-07-15,-8.183252874840827,-7.680186435898686,4,-7.866942492958119,30,-7.862525063909873,28,-7.660808510627155,3,-7.814532729781002,-7.582830815127295
