,mean_abs_shap
log_RV,0.36607254
ATR14,0.15353663
VIX,0.088250175
SILVER,0.07101298
BB_WIDTH,0.0689849
FTSE100,0.0630807
IEF,0.05363765
YC_SLOPE_10Y_2Y,0.05191313
TLT,0.0496717
LQD,0.049583804
D_HY_OAS,0.049522992
DXY,0.047843616
GOLD,0.047218293
NASDAQ,0.044900812
LOG_DIFFICULTY,0.042179793
DOW30,0.03532897
DLOG_EST_TX_VOL_USD,0.035306226
OBV,0.035093777
SP500,0.033362795
EEM,0.03212219
SSE,0.030804722
DLOG_AVG_TX_VALUE_USD,0.03048707
HYG,0.030018447
RSI14,0.027606266
STOCH_K,0.026684059
DLOG_UNIQUE_ADDR,0.025245933
DLOG_FEES_USD,0.02471926
OIL,0.023962926
D_DGS2,0.022507772
LOG_HASH_RATE,0.021946356
EMA200,0.01563204
DLOG_FEES_USD_PER_TX,0.01553982
ROC10,0.015403278
EMA10,0.014771091
MOM10,0.014731934
DLOG_HASH_RATE,0.014635174
DLOG_AVG_BLOCK_SIZE,0.014439459
D_DGS10,0.014208732
DLOG_MED_CONFIRM_TIME,0.0107403705
EMA30,0.010707832
DLOG_TX_COUNT,0.010652487
DLOG_MINERS_REV_USD,0.00744697
DLOG_DIFFICULTY,0.0048192125
D_EFFR,0.0004016215
